latitude;longitude;acq_date
-1.8674;121.552;13/01/2016
-1.8686;121.543;13/01/2016
-1.8533;121.5865;13/01/2016
-3.4433;121.1414;13/01/2016
-3.442;121.1504;13/01/2016
-3.3515;120.1767;13/01/2016
-3.4782;122.1914;13/01/2016
-0.6707;120.0661;13/01/2016
-1.4717;120.9679;13/01/2016
-2.5831;121.3736;13/01/2016
-2.0458;120.7478;13/01/2016
-2.0471;120.7384;13/01/2016
-3.0126;121.6496;13/01/2016
1.1527;121.2971;13/01/2016
0.3006;120.1125;13/01/2016
0.4105;120.1673;13/01/2016
0.78;123.533;13/01/2016
1.0884;121.3675;13/01/2016
0.5107;121.8928;13/01/2016
0.3166;120.1579;13/01/2016
0.4118;120.1766;13/01/2016
-2.585;121.3555;13/01/2016
-2.574;121.3696;13/01/2016
-2.5815;121.3782;13/01/2016
-2.5729;121.3913;13/01/2016
-2.5703;121.3732;13/01/2016
-4.078;121.6355;14/01/2016
-2.5783;121.3796;14/01/2016
-2.5831;121.3745;15/01/2016
-2.5844;121.3834;15/01/2016
-4.2146;122.0074;15/01/2016
-3.7132;121.8544;15/01/2016
-2.5402;121.0865;15/01/2016
-2.5746;121.3822;15/01/2016
-1.1927;123.3133;15/01/2016
-3.4095;121.9799;15/01/2016
-1.8351;121.9893;15/01/2016
-0.9582;122.7865;15/01/2016
-5.1017;121.9014;15/01/2016
-2.9165;121.5582;15/01/2016
-2.4924;121.0034;15/01/2016
-1.8357;121.9887;15/01/2016
-4.2087;121.7941;16/01/2016
-3.8752;122.4062;16/01/2016
-3.4842;122.194;16/01/2016
-2.5849;121.3625;16/01/2016
-2.5815;121.385;16/01/2016
-4.1706;122.1564;17/01/2016
-1.8346;121.9886;17/01/2016
-4.4709;122.161;17/01/2016
-3.7402;121.9412;17/01/2016
-3.7173;121.8559;17/01/2016
-3.0042;120.1973;17/01/2016
-2.5587;121.5698;17/01/2016
-2.5833;121.384;17/01/2016
-2.4439;121.2094;17/01/2016
-2.8109;122.0842;17/01/2016
-3.0664;121.8144;17/01/2016
-4.0707;122.1713;17/01/2016
-4.0734;122.1666;17/01/2016
-3.1347;122.3415;17/01/2016
-3.1322;122.3536;17/01/2016
-3.5179;122.2149;17/01/2016
-3.8973;122.3949;17/01/2016
-2.5402;121.0819;17/01/2016
-2.573;121.3783;17/01/2016
-2.582;121.3797;17/01/2016
-1.8329;121.9845;17/01/2016
-2.5833;121.3706;17/01/2016
-1.2494;122.5979;17/01/2016
-2.5712;121.3811;17/01/2016
-1.2391;122.5902;17/01/2016
-2.5801;121.3798;17/01/2016
-3.9644;122.0238;17/01/2016
-0.5949;123.2263;18/01/2016
-3.0637;121.8037;18/01/2016
-2.574;121.3763;18/01/2016
-2.5831;121.3946;18/01/2016
-2.5797;121.3699;18/01/2016
-3.0656;121.7969;18/01/2016
-5.3281;122.2865;18/01/2016
-3.7967;119.651;18/01/2016
-5.4846;122.0767;18/01/2016
-2.5824;121.3742;18/01/2016
1.4471;125.1825;19/01/2016
-5.461;122.6055;20/01/2016
-5.4817;122.0756;20/01/2016
-2.5743;121.3717;20/01/2016
-2.571;121.3784;20/01/2016
-2.5699;121.3813;20/01/2016
-1.8286;121.9974;21/01/2016
-2.5839;121.371;24/01/2016
-2.5772;121.3766;26/01/2016
-2.5756;121.3867;26/01/2016
-2.5733;121.3716;26/01/2016
-1.5216;122.2615;26/01/2016
-1.8366;121.9887;26/01/2016
-2.5808;121.3885;26/01/2016
-2.5793;121.3787;26/01/2016
-1.5146;122.2698;26/01/2016
-3.7918;119.6547;27/01/2016
-1.0239;121.5244;27/01/2016
-1.0027;121.5317;27/01/2016
-2.5772;121.3719;27/01/2016
-2.5818;121.4049;27/01/2016
-2.5663;121.3785;27/01/2016
-2.5791;121.3944;28/01/2016
-2.5752;121.3688;28/01/2016
-2.5778;121.3655;28/01/2016
-2.5761;121.378;28/01/2016
-2.5823;121.3836;28/01/2016
-2.5707;121.3857;28/01/2016
0.4093;124.2252;29/01/2016
1.0412;120.818;29/01/2016
-1.3904;121.5821;29/01/2016
-2.5765;121.3778;29/01/2016
-1.7735;120.7231;29/01/2016
-2.5781;121.3887;29/01/2016
-2.4931;121.0718;29/01/2016
-4.4116;122.6459;29/01/2016
-2.3675;121.8034;29/01/2016
-2.1347;121.5052;29/01/2016
-1.2391;121.586;29/01/2016
-4.1234;122.5955;29/01/2016
-0.947;122.7912;29/01/2016
-2.5848;121.3797;29/01/2016
-2.1773;121.4621;29/01/2016
-1.5709;120.617;29/01/2016
-2.8318;122.1618;29/01/2016
-2.9654;121.3567;29/01/2016
-2.9666;121.3477;29/01/2016
-2.985;121.2198;29/01/2016
-2.586;121.3707;29/01/2016
-2.5757;121.3785;29/01/2016
-3.4051;119.2092;29/01/2016
0.5341;121.6962;29/01/2016
-4.8261;121.7011;30/01/2016
-2.5783;121.3689;30/01/2016
-2.5754;121.39;30/01/2016
1.0426;120.8253;31/01/2016
-0.9514;122.7847;31/01/2016
-4.3609;121.8402;31/01/2016
-2.2806;121.6938;31/01/2016
-2.2823;121.6817;31/01/2016
-2.8276;122.1602;31/01/2016
-1.4526;123.2042;31/01/2016
-2.5809;121.3668;31/01/2016
-2.5792;121.3794;31/01/2016
0.507;122.8875;31/01/2016
-2.5846;121.3716;31/01/2016
-2.5722;121.3826;31/01/2016
-2.5741;121.3697;31/01/2016
-2.5853;121.3748;01/02/2016
-2.5811;121.3823;02/02/2016
-2.5794;121.3705;02/02/2016
-2.5828;121.3588;02/02/2016
-2.5898;121.3642;02/02/2016
-2.5797;121.3801;02/02/2016
0.5588;122.3974;02/02/2016
-1.5785;121.9835;02/02/2016
-1.1356;121.5257;02/02/2016
-1.1327;121.5303;02/02/2016
-1.0171;122.7758;02/02/2016
-1.0191;122.7615;02/02/2016
-0.9561;122.7825;02/02/2016
-2.5806;121.3866;04/02/2016
-2.581;121.372;04/02/2016
-2.5776;121.367;04/02/2016
1.4514;124.8369;05/02/2016
-1.5221;122.2643;05/02/2016
1.0969;124.7435;06/02/2016
1.1252;124.7531;06/02/2016
1.1074;124.7519;06/02/2016
1.1322;124.7478;06/02/2016
1.126;124.7553;06/02/2016
1.1195;124.7601;06/02/2016
-2.5866;121.3792;07/02/2016
-2.5776;121.377;07/02/2016
-2.579;121.3862;07/02/2016
-2.2878;121.6794;07/02/2016
0.6129;122.417;09/02/2016
-1.5208;122.2673;09/02/2016
-5.0092;119.5755;09/02/2016
-0.8054;122.2482;09/02/2016
1.4519;125.1949;09/02/2016
-2.5807;121.3815;09/02/2016
-1.5237;122.2686;09/02/2016
-2.5822;121.3712;09/02/2016
-1.5199;122.2704;09/02/2016
-1.8277;121.9879;09/02/2016
-2.5843;121.3889;10/02/2016
-2.5789;121.3837;10/02/2016
-2.5837;121.3617;10/02/2016
-2.5812;121.3783;10/02/2016
-3.9313;119.7965;10/02/2016
-0.5947;123.2114;10/02/2016
1.107;124.7522;11/02/2016
-2.5846;121.3824;11/02/2016
-2.5823;121.3672;11/02/2016
-2.5748;121.3763;11/02/2016
-2.5824;121.3783;12/02/2016
-0.5967;123.2174;13/02/2016
-2.5718;121.3761;13/02/2016
-2.5824;121.3774;13/02/2016
-2.1989;121.6647;14/02/2016
-1.8396;121.9859;14/02/2016
-1.4628;120.3858;14/02/2016
-2.2002;121.6558;14/02/2016
-2.7515;121.6623;14/02/2016
-2.582;121.3679;14/02/2016
-2.5807;121.377;14/02/2016
-1.58;120.7195;14/02/2016
-3.9785;121.8324;14/02/2016
-3.9798;121.8233;14/02/2016
-3.2992;122.2672;14/02/2016
0.5365;120.455;14/02/2016
-0.0895;119.9386;14/02/2016
-1.8079;119.4678;16/02/2016
0.0465;120.0811;16/02/2016
-5.1667;119.4259;18/02/2016
-0.614;123.0267;18/02/2016
-0.5991;123.2067;18/02/2016
-0.5921;123.2144;20/02/2016
0.513;121.4436;20/02/2016
-1.2695;121.689;20/02/2016
-1.2742;121.6569;20/02/2016
-1.5198;122.2637;20/02/2016
-1.5214;122.2747;20/02/2016
-1.5708;120.3956;21/02/2016
0.8103;122.5452;25/02/2016
-1.516;122.2652;25/02/2016
-2.5744;121.3797;25/02/2016
-2.5787;121.3651;26/02/2016
